a3238477-3aa2-462c-95e9-785fca9a3b20,2023-08-20 19:54:55.562511+02,../MusicLib/Drum & Bass/Dimension - Offender (Grafix mix).mp3,Offender (Grafix mix),Dimension,"",,Drum & Bass,3:43,B♭ Major,6B,174,49,100,46,27,0,80,30,10,Uploaded from Uploader.py
499b7bfa-5653-484d-b129-6c9690ebdd42,2023-08-20 19:56:26.235545+02,../MusicLib/Drum & Bass/DJ Fresh - Gold Dust.mp3,Gold Dust,DJ Fresh,"",,Drum & Bass,5:26,F Major,7B,145,50,80,64,65,1,5,29,10,Well known Drum & Bass song
4aab260c-10d7-42fa-b00d-ab9878ea85c3,2023-08-20 19:55:31.72975+02,../MusicLib/Drum & Bass/Dimension - Remedy.mp3,Remedy,Dimension,"",,Drum & Bass,3:21,G Minor,6A,174,51,96,51,34,21,1,8,5,Uploaded from Uploader.py
c0ef71ff-b334-4797-b9f2-68d79fb08b46,2023-08-20 19:55:50.355328+02,../MusicLib/Drum & Bass/Dimension - UK.mp3,UK,Dimension,"",,Drum & Bass,4:26,F Minor,4A,103,39,68,51,12,40,93,23,5,Uploaded from Uploader.py
53b9699f-06a0-4e55-b8e5-96312fdb8a4d,2023-08-20 19:56:08.185042+02,../MusicLib/Drum & Bass/DJ Fresh - Gold Dust (Autodidakt Remix).mp3,Gold Dust (Autodidakt Remix),DJ Fresh,"",,Drum & Bass,5:26,F Major,7B,145,50,80,64,65,1,5,29,10,Uploaded from Uploader.py
9eb794ef-e8f6-458d-9766-efb1ca0310b2,2023-08-20 19:48:57.125587+02,../MusicLib/Drum & Bass/Acid - Go Acid!! (Used Remix).mp3,Go Acid!! (Used Remix),"Acid, Used, Joost","",,Drum & Bass,2:53,C# Major,3B,175,53,98,67,81,4,0,71,5,Song from youtuber Acid remixed by Used to create an awesome DnB track
3311964a-c856-45b3-80be-55520d5d3893,2023-08-20 19:56:44.15063+02,../MusicLib/Drum & Bass/DJ Limited - Badboy Sound.mp3,Badboy Sound,DJ Limited,"",,Drum & Bass,3:40,C Major,8B,88,15,86,72,51,3,53,7,6,Uploaded from Uploader.py
a26543cf-5da2-4f5c-900f-971cf8181efd,2023-08-20 19:57:20.858641+02,../MusicLib/Drum & Bass/Dub Elements - I Won't Let You fall.mp3,I Won't Let You fall,Dub Elements,"",,Drum & Bass,4:13,B♭ Major,6B,174,13,74,35,6,2,2,10,6,Uploaded from Uploader.py
c1b5365d-1583-4265-9d13-998e92b0e2f2,2023-08-20 19:57:39.153709+02,../MusicLib/Drum & Bass/Enta - Overkill.mp3,Overkill,Enta,"",,Drum & Bass,4:26,C# Major,3B,174,14,94,52,21,0,87,5,5,Uploaded from Uploader.py
48d84766-c0de-4695-98c2-d055c38ac1f9,2023-08-20 19:48:15.5907+02,../MusicLib/Drum & Bass/1991 - Chant.mp3,Chant,1991,"",,Drum & Bass,3:45,C Major,8B,174,51,98,51,21,2,23,15,6,Epic song from 1991 with some cool drums
4062ede4-80ee-4412-a120-1b77b51eaa49,2023-08-20 19:58:15.447302+02,../MusicLib/Drum & Bass/Fred Again - Turn On The Lights (Tsuki Bootleg).mp3,Turn On The Lights (Tsuki Bootleg),Fred Again,"",,Drum & Bass,4:28,F# Minor,11A,132,74,89,68,55,1,45,32,5,Popular song from Fred Again turned into Drum & Bass
37375a25-d774-4ca9-b1ee-f293e0c65630,2023-08-20 19:58:33.649645+02,../MusicLib/Drum & Bass/Hedex - MHITR (Semi Automatic).mp3,MHITR (Semi Automatic),Hedex,"",,Drum & Bass,2:55,B Major,1B,175,59,100,64,21,2,2,28,37,Hype Jum Up Drum & Bass song from Hedex
35d26cf3-05b3-4abc-b954-1a9f68fd2764,2023-08-20 19:58:51.411262+02,../MusicLib/Drum & Bass/Hedex - Move Your Body.mp3,Move Your Body,Hedex,"",,Drum & Bass,3:20,B♭ Major,6B,175,62,89,68,40,16,0,11,5,Hype song from Hedex with cool drop
b708daaa-e402-4dfe-8d68-2e760c3a1fb1,2023-08-20 19:59:09.099769+02,../MusicLib/Drum & Bass/Jamezy - Hit The Floor.mp3,Hit The Floor,Jamezy,"",,Drum & Bass,3:22,G Major,9B,174,42,77,74,22,5,2,11,20,Liquid style buildup with dancefloor drop
7a598a27-4418-463f-8bb6-201d74820710,2023-08-20 20:00:06.163534+02,../MusicLib/Drum & Bass/Kanine - Get Down.mp3,Get Down,Kanine,"",,Drum & Bass,3:29,F Major,7B,174,40,100,49,46,0,86,35,15,Dark Drum & Bass
